"","group","subject","item","region","measure","sort","condition","skips","rawdata","nozero","ambiguity","gender"
"25392","Native",9,8,"spillover1","tt","spillover1 tt",4,0,381,381,-0.5,0.5
"25394","Native",10,13,"spillover1","tt","spillover1 tt",2,0,546,546,0.5,0.5
"25396","Native",10,3,"spillover1","tt","spillover1 tt",4,0,345,345,-0.5,0.5
"25398","Native",10,9,"spillover1","tt","spillover1 tt",2,0,275,275,0.5,0.5
"25400","Native",10,20,"spillover1","tt","spillover1 tt",1,0,705,705,0.5,-0.5
"25402","Native",10,1,"spillover1","tt","spillover1 tt",2,0,371,371,0.5,0.5
"25404","Native",10,5,"spillover1","tt","spillover1 tt",2,0,235,235,0.5,0.5
"25406","Native",10,6,"spillover1","tt","spillover1 tt",3,0,416,416,-0.5,-0.5
"25408","Native",10,4,"spillover1","tt","spillover1 tt",1,0,444,444,0.5,-0.5
"25410","Native",10,23,"spillover1","tt","spillover1 tt",4,0,746,746,-0.5,0.5
"25412","Native",10,17,"spillover1","tt","spillover1 tt",2,0,199,199,0.5,0.5
"25414","Native",10,2,"spillover1","tt","spillover1 tt",3,0,530,530,-0.5,-0.5
"25416","Native",10,11,"spillover1","tt","spillover1 tt",4,0,165,165,-0.5,0.5
"25418","Native",10,16,"spillover1","tt","spillover1 tt",1,0,398,398,0.5,-0.5
"25420","Native",10,15,"spillover1","tt","spillover1 tt",4,0,152,152,-0.5,0.5
"25422","Native",10,21,"spillover1","tt","spillover1 tt",2,0,559,559,0.5,0.5
"25424","Native",10,18,"spillover1","tt","spillover1 tt",3,0,241,241,-0.5,-0.5
"25426","Native",10,10,"spillover1","tt","spillover1 tt",3,0,166,166,-0.5,-0.5
"25428","Native",10,22,"spillover1","tt","spillover1 tt",3,0,256,256,-0.5,-0.5
"25430","Native",10,14,"spillover1","tt","spillover1 tt",3,0,206,206,-0.5,-0.5
"25432","Native",10,12,"spillover1","tt","spillover1 tt",1,0,245,245,0.5,-0.5
"25434","Native",10,8,"spillover1","tt","spillover1 tt",1,0,232,232,0.5,-0.5
"25436","Native",10,19,"spillover1","tt","spillover1 tt",4,0,214,214,-0.5,0.5
"25438","Native",10,24,"spillover1","tt","spillover1 tt",1,0,718,718,0.5,-0.5
"25440","Native",10,7,"spillover1","tt","spillover1 tt",4,0,224,224,-0.5,0.5
"25442","Native",11,6,"spillover1","tt","spillover1 tt",4,0,364,364,-0.5,0.5
"25444","Native",11,14,"spillover1","tt","spillover1 tt",4,0,406,406,-0.5,0.5
"25446","Native",11,15,"spillover1","tt","spillover1 tt",1,0,278,278,0.5,-0.5
"25448","Native",11,18,"spillover1","tt","spillover1 tt",4,0,288,288,-0.5,0.5
"25450","Native",11,20,"spillover1","tt","spillover1 tt",2,0,722,722,0.5,0.5
"25452","Native",11,13,"spillover1","tt","spillover1 tt",3,0,592,592,-0.5,-0.5
"25454","Native",11,8,"spillover1","tt","spillover1 tt",2,0,400,400,0.5,0.5
"25456","Native",11,9,"spillover1","tt","spillover1 tt",3,0,348,348,-0.5,-0.5
"25458","Native",11,19,"spillover1","tt","spillover1 tt",1,0,1418,1418,0.5,-0.5
"25460","Native",11,24,"spillover1","tt","spillover1 tt",2,0,404,404,0.5,0.5
"25462","Native",11,2,"spillover1","tt","spillover1 tt",4,0,288,288,-0.5,0.5
"25464","Native",11,10,"spillover1","tt","spillover1 tt",4,0,840,840,-0.5,0.5
"25466","Native",11,23,"spillover1","tt","spillover1 tt",1,0,322,322,0.5,-0.5
"25468","Native",11,12,"spillover1","tt","spillover1 tt",2,0,596,596,0.5,0.5
"25470","Native",11,21,"spillover1","tt","spillover1 tt",3,0,674,674,-0.5,-0.5
"25472","Native",11,16,"spillover1","tt","spillover1 tt",2,0,332,332,0.5,0.5
"25474","Native",11,7,"spillover1","tt","spillover1 tt",1,0,214,214,0.5,-0.5
"25476","Native",11,5,"spillover1","tt","spillover1 tt",3,0,396,396,-0.5,-0.5
"25478","Native",11,3,"spillover1","tt","spillover1 tt",1,0,798,798,0.5,-0.5
"25480","Native",11,1,"spillover1","tt","spillover1 tt",3,0,316,316,-0.5,-0.5
"25482","Native",11,4,"spillover1","tt","spillover1 tt",2,0,950,950,0.5,0.5
"25484","Native",11,17,"spillover1","tt","spillover1 tt",3,0,700,700,-0.5,-0.5
"25486","Native",11,11,"spillover1","tt","spillover1 tt",1,0,506,506,0.5,-0.5
"25488","Native",11,22,"spillover1","tt","spillover1 tt",4,0,106,106,-0.5,0.5
"25490","Native",12,21,"spillover1","tt","spillover1 tt",2,0,836,836,0.5,0.5
"25492","Native",12,17,"spillover1","tt","spillover1 tt",2,0,415,415,0.5,0.5
"25494","Native",12,6,"spillover1","tt","spillover1 tt",3,0,163,163,-0.5,-0.5
"25496","Native",12,10,"spillover1","tt","spillover1 tt",3,0,183,183,-0.5,-0.5
"25498","Native",12,18,"spillover1","tt","spillover1 tt",3,0,323,323,-0.5,-0.5
"25500","Native",12,16,"spillover1","tt","spillover1 tt",1,0,258,258,0.5,-0.5
"25502","Native",12,15,"spillover1","tt","spillover1 tt",4,0,432,432,-0.5,0.5
"25504","Native",12,1,"spillover1","tt","spillover1 tt",2,0,460,460,0.5,0.5
"25506","Native",12,9,"spillover1","tt","spillover1 tt",2,0,838,838,0.5,0.5
"25508","Native",12,11,"spillover1","tt","spillover1 tt",4,0,190,190,-0.5,0.5
"25510","Native",12,8,"spillover1","tt","spillover1 tt",1,0,616,616,0.5,-0.5
"25512","Native",12,23,"spillover1","tt","spillover1 tt",4,0,573,573,-0.5,0.5
"25514","Native",12,5,"spillover1","tt","spillover1 tt",2,0,1109,1109,0.5,0.5
"25516","Native",12,2,"spillover1","tt","spillover1 tt",3,0,900,900,-0.5,-0.5
"25518","Native",12,4,"spillover1","tt","spillover1 tt",1,0,156,156,0.5,-0.5
"25520","Native",12,19,"spillover1","tt","spillover1 tt",4,0,768,768,-0.5,0.5
"25522","Native",12,14,"spillover1","tt","spillover1 tt",3,0,200,200,-0.5,-0.5
"25524","Native",12,13,"spillover1","tt","spillover1 tt",2,0,209,209,0.5,0.5
"25526","Native",12,24,"spillover1","tt","spillover1 tt",1,0,392,392,0.5,-0.5
"25528","Native",12,12,"spillover1","tt","spillover1 tt",1,0,706,706,0.5,-0.5
"25530","Native",12,22,"spillover1","tt","spillover1 tt",3,0,174,174,-0.5,-0.5
"25532","Native",12,20,"spillover1","tt","spillover1 tt",1,0,247,247,0.5,-0.5
"25534","Native",12,3,"spillover1","tt","spillover1 tt",4,0,563,563,-0.5,0.5
"25536","Native",12,7,"spillover1","tt","spillover1 tt",4,0,1134,1134,-0.5,0.5
"25537","Native",13,5,"spillover1","tt","spillover1 tt",4,0,364,364,-0.5,0.5
"25539","Native",13,18,"spillover1","tt","spillover1 tt",1,0,1301,1301,0.5,-0.5
"25541","Native",13,17,"spillover1","tt","spillover1 tt",4,0,330,330,-0.5,0.5
"25543","Native",13,4,"spillover1","tt","spillover1 tt",3,0,259,259,-0.5,-0.5
"25545","Native",13,9,"spillover1","tt","spillover1 tt",4,0,825,825,-0.5,0.5
"25547","Native",13,10,"spillover1","tt","spillover1 tt",1,0,581,581,0.5,-0.5
"25549","Native",13,20,"spillover1","tt","spillover1 tt",3,0,266,266,-0.5,-0.5
"25551","Native",13,22,"spillover1","tt","spillover1 tt",1,0,636,636,0.5,-0.5
"25553","Native",13,13,"spillover1","tt","spillover1 tt",4,0,461,461,-0.5,0.5
"25555","Native",13,24,"spillover1","tt","spillover1 tt",3,0,173,173,-0.5,-0.5
"25557","Native",13,12,"spillover1","tt","spillover1 tt",3,0,255,255,-0.5,-0.5
"25559","Native",13,7,"spillover1","tt","spillover1 tt",2,0,218,218,0.5,0.5
"25561","Native",13,15,"spillover1","tt","spillover1 tt",2,0,505,505,0.5,0.5
